season,year,weekofyear,epiweek,total_cases,rate_overall,location
2012-13,2013,8,201308,1.3,1.3,network_all
2012-13,2013,9,201309,1.2,1.2,network_all
2012-13,2013,10,201310,1.0,1.0,network_all
2012-13,2013,11,201311,0.9,0.9,network_all
2012-13,2013,12,201312,0.7,0.7,network_all
2012-13,2013,13,201313,0.6,0.6,network_all
2012-13,2013,14,201314,0.6,0.6,network_all
2012-13,2013,15,201315,0.4,0.4,network_all
2012-13,2013,16,201316,0.2,0.2,network_all
2012-13,2013,17,201317,0.2,0.2,network_all
2013-14,2013,40,201340,0.0,0.0,network_all
2013-14,2013,41,201341,0.1,0.1,network_all
2013-14,2013,42,201342,0.1,0.1,network_all
2013-14,2013,43,201343,0.1,0.1,network_all
2013-14,2013,44,201344,0.1,0.1,network_all
2013-14,2013,45,201345,0.1,0.1,network_all
2013-14,2013,46,201346,0.2,0.2,network_all
2013-14,2013,47,201347,0.4,0.4,network_all
2013-14,2013,48,201348,0.6,0.6,network_all
2013-14,2013,49,201349,1.0,1.0,network_all
2013-14,2013,50,201350,1.1,1.1,network_all
2013-14,2013,51,201351,2.0,2.0,network_all
2013-14,2013,52,201352,3.1,3.1,network_all
2013-14,2014,1,201401,3.9,3.9,network_all
2013-14,2014,2,201402,3.8,3.8,network_all
2013-14,2014,3,201403,3.1,3.1,network_all
2013-14,2014,4,201404,2.5,2.5,network_all
2013-14,2014,5,201405,2.1,2.1,network_all
2013-14,2014,6,201406,1.8,1.8,network_all
2013-14,2014,7,201407,1.3,1.3,network_all
2013-14,2014,8,201408,1.0,1.0,network_all
2013-14,2014,9,201409,0.9,0.9,network_all
2013-14,2014,10,201410,0.7,0.7,network_all
2013-14,2014,11,201411,0.7,0.7,network_all
2013-14,2014,12,201412,0.7,0.7,network_all
2013-14,2014,13,201413,0.7,0.7,network_all
2013-14,2014,14,201414,0.8,0.8,network_all
2013-14,2014,15,201415,0.8,0.8,network_all
2013-14,2014,16,201416,0.7,0.7,network_all
2013-14,2014,17,201417,0.8,0.8,network_all
2014-15,2014,40,201440,0.1,0.1,network_all
2014-15,2014,41,201441,0.1,0.1,network_all
2014-15,2014,42,201442,0.2,0.2,network_all
