hhs1,hhs2,hhs3,hhs4,hhs5,hhs6,hhs7,hhs8,hhs9,hhs10
2.128680000000000128e+00,3.261439999999999895e+00,3.370649999999999924e+00,3.878000000000000114e+00,2.998819999999999819e+00,5.359449999999999825e+00,2.390660000000000007e+00,1.131720000000000059e+00,2.265909999999999869e+00,1.269649999999999945e+00
1.935829999999999940e+00,3.079120000000000079e+00,3.042079999999999895e+00,4.679640000000000022e+00,2.813070000000000181e+00,4.414139999999999731e+00,2.040610000000000035e+00,1.347520000000000051e+00,1.977179999999999938e+00,9.164750000000000396e-01
2.001489999999999991e+00,3.728549999999999809e+00,3.180569999999999897e+00,3.675100000000000033e+00,2.385819999999999830e+00,3.689789999999999903e+00,1.690229999999999899e+00,1.134309999999999929e+00,1.981119999999999992e+00,9.102639999999999620e-01
2.216790000000000038e+00,3.729999999999999982e+00,2.226300000000000168e+00,2.740660000000000096e+00,2.087070000000000203e+00,3.272959999999999869e+00,1.368160000000000043e+00,1.112239999999999895e+00,1.813260000000000094e+00,7.965119999999999978e-01
1.795590000000000019e+00,3.076389999999999958e+00,1.685279999999999889e+00,2.177820000000000089e+00,1.593990000000000018e+00,3.025770000000000071e+00,9.720389999999999864e-01,8.345820000000000460e-01,1.618549999999999933e+00,6.725320000000000187e-01
1.530089999999999950e+00,2.308390000000000164e+00,1.415300000000000002e+00,1.799139999999999961e+00,1.431219999999999937e+00,2.891760000000000108e+00,8.520590000000000108e-01,8.551330000000000320e-01,1.669699999999999962e+00,5.940779999999999950e-01
1.118829999999999991e+00,2.371950000000000003e+00,1.086810000000000054e+00,1.493209999999999926e+00,1.285660000000000025e+00,2.443400000000000016e+00,7.602440000000000309e-01,9.755840000000000067e-01,1.779630000000000045e+00,4.709800000000000098e-01
9.277640000000000331e-01,2.018839999999999968e+00,1.055639999999999912e+00,1.245079999999999965e+00,1.132940000000000058e+00,2.302109999999999879e+00,7.464709999999999956e-01,1.025150000000000006e+00,1.569369999999999932e+00,7.151309999999999611e-01
7.355650000000000244e-01,2.041020000000000056e+00,8.813689999999999580e-01,1.396150000000000002e+00,1.122519999999999962e+00,1.661869999999999958e+00,4.397229999999999750e-01,5.761290000000000022e-01,1.478350000000000053e+00,5.326689999999999481e-01
6.632369999999999655e-01,2.053690000000000015e+00,9.837310000000000221e-01,1.271150000000000002e+00,9.376499999999999835e-01,2.053129999999999900e+00,3.050880000000000258e-01,7.588019999999999765e-01,1.469649999999999901e+00,6.062419999999999476e-01
