RG_68,RG_69,RG_71,RG_35,RG_66,RG_23,RG_04,RG_25,RG_58,RG_38,RG_19,RG_70,RG_45,RG_17,RG_62
16.0,9.0,18.0,5.0,13.0,9.0,12.0,3.0,9.0,2.0,10.0,5.0,2.0,4.0,6.0
24.0,13.0,17.0,10.0,11.0,11.0,6.0,6.0,6.0,20.0,15.0,13.0,2.0,8.0,9.0
44.0,48.0,42.0,18.0,27.0,19.0,25.0,22.0,16.0,13.0,18.0,5.0,20.0,22.0,22.0
61.0,54.0,36.0,21.0,24.0,25.0,33.0,24.0,19.0,18.0,15.0,22.0,13.0,7.0,16.0
35.0,29.0,32.0,12.0,23.0,9.0,16.0,11.0,17.0,17.0,21.0,6.0,9.0,2.0,9.0
40.0,38.0,45.0,27.0,32.0,18.0,37.0,15.0,16.0,6.0,15.0,14.0,18.0,14.0,24.0
23.0,35.0,32.0,18.0,22.0,18.0,12.0,0.0,14.0,16.0,10.0,6.0,0.0,18.0,25.0
40.0,24.0,30.0,16.0,23.0,13.0,20.0,30.0,17.0,5.0,21.0,8.0,24.0,14.0,28.0
34.0,24.0,29.0,9.0,13.0,13.0,15.0,10.0,8.0,8.0,22.0,2.0,5.0,16.0,11.0
22.0,18.0,28.0,13.0,21.0,13.0,32.0,18.0,12.0,10.0,8.0,8.0,14.0,7.0,21.0
34.0,31.0,32.0,17.0,17.0,13.0,19.0,9.0,5.0,9.0,11.0,6.0,7.0,7.0,32.0
26.0,13.0,19.0,11.0,14.0,1.0,13.0,7.0,12.0,6.0,10.0,8.0,1.0,4.0,10.0
21.0,20.0,23.0,15.0,10.0,11.0,10.0,9.0,8.0,5.0,7.0,4.0,6.0,3.0,3.0
24.0,10.0,22.0,8.0,7.0,5.0,11.0,6.0,9.0,6.0,4.0,6.0,3.0,9.0,9.0
