RG_68,RG_69,RG_71,RG_35,RG_66,RG_23,RG_04,RG_25,RG_58,RG_38,RG_19,RG_70,RG_45,RG_17,RG_62
43.0,70.0,21.0,21.0,3.0,7.0,0.0,5.0,3.0,6.0,4.0,13.0,7.0,8.0,9.0
20.0,40.0,8.0,18.0,9.0,3.0,15.0,11.0,3.0,6.0,1.0,8.0,7.0,7.0,2.0
28.0,84.0,51.0,41.0,16.0,36.0,28.0,9.0,21.0,23.0,4.0,6.0,18.0,8.0,16.0
58.0,99.0,45.0,57.0,38.0,36.0,34.0,36.0,33.0,26.0,14.0,11.0,22.0,20.0,22.0
42.0,91.0,56.0,65.0,23.0,20.0,25.0,33.0,30.0,17.0,20.0,34.0,26.0,20.0,14.0
40.0,91.0,59.0,37.0,23.0,17.0,17.0,33.0,31.0,25.0,9.0,12.0,16.0,22.0,22.0
51.0,67.0,41.0,25.0,18.0,16.0,13.0,18.0,15.0,10.0,6.0,15.0,6.0,9.0,11.0
48.0,85.0,39.0,29.0,15.0,17.0,16.0,23.0,24.0,9.0,13.0,20.0,13.0,13.0,12.0
45.0,46.0,32.0,30.0,3.0,11.0,12.0,27.0,21.0,12.0,17.0,6.0,11.0,8.0,10.0
52.0,69.0,50.0,41.0,13.0,14.0,16.0,34.0,18.0,10.0,9.0,11.0,12.0,19.0,6.0
57.0,95.0,62.0,33.0,11.0,18.0,26.0,41.0,15.0,12.0,16.0,17.0,18.0,24.0,11.0
95.0,152.0,81.0,70.0,42.0,32.0,21.0,67.0,22.0,31.0,18.0,6.0,39.0,39.0,16.0
124.0,165.0,76.0,86.0,42.0,43.0,20.0,43.0,44.0,28.0,12.0,27.0,32.0,38.0,19.0
88.0,149.0,87.0,54.0,58.0,24.0,27.0,36.0,27.0,34.0,10.0,47.0,35.0,28.0,17.0
89.0,145.0,89.0,54.0,30.0,27.0,18.0,31.0,29.0,18.0,13.0,33.0,19.0,32.0,21.0
101.0,121.0,79.0,52.0,48.0,26.0,21.0,37.0,15.0,22.0,16.0,40.0,21.0,24.0,11.0
75.0,110.0,78.0,38.0,25.0,15.0,14.0,18.0,17.0,15.0,12.0,21.0,13.0,16.0,5.0
92.0,74.0,47.0,22.0,20.0,11.0,15.0,10.0,13.0,10.0,6.0,25.0,12.0,11.0,7.0
56.0,63.0,45.0,23.0,22.0,12.0,10.0,13.0,10.0,12.0,9.0,21.0,12.0,6.0,6.0
53.0,21.0,22.0,4.0,15.0,6.0,9.0,17.0,5.0,4.0,2.0,14.0,0.0,3.0,2.0
98.0,86.0,63.0,61.0,37.0,38.0,15.0,48.0,32.0,35.0,13.0,7.0,42.0,5.0,9.0
96.0,106.0,48.0,80.0,35.0,36.0,28.0,42.0,40.0,24.0,22.0,17.0,28.0,29.0,14.0
105.0,101.0,64.0,78.0,34.0,38.0,10.0,44.0,37.0,19.0,3.0,19.0,34.0,14.0,9.0
46.0,45.0,38.0,44.0,23.0,20.0,15.0,18.0,13.0,15.0,2.0,20.0,10.0,20.0,2.0
62.0,62.0,50.0,30.0,35.0,29.0,21.0,31.0,15.0,19.0,15.0,11.0,21.0,17.0,6.0
67.0,38.0,49.0,33.0,28.0,21.0,21.0,19.0,21.0,27.0,6.0,23.0,16.0,16.0,1.0
91.0,81.0,59.0,56.0,54.0,51.0,24.0,35.0,23.0,43.0,22.0,29.0,51.0,34.0,9.0
87.0,67.0,63.0,57.0,29.0,33.0,36.0,34.0,25.0,18.0,20.0,24.0,43.0,30.0,10.0
53.0,65.0,40.0,14.0,28.0,14.0,19.0,25.0,25.0,14.0,16.0,32.0,11.0,19.0,3.0
66.0,73.0,70.0,46.0,41.0,35.0,25.0,41.0,33.0,23.0,10.0,10.0,43.0,19.0,11.0
59.0,24.0,36.0,10.0,19.0,21.0,18.0,22.0,15.0,11.0,11.0,8.0,12.0,6.0,3.0
53.0,46.0,24.0,15.0,14.0,20.0,21.0,18.0,19.0,13.0,12.0,14.0,15.0,9.0,13.0
38.0,36.0,29.0,13.0,11.0,16.0,10.0,11.0,16.0,10.0,9.0,15.0,15.0,3.0,5.0
51.0,46.0,39.0,20.0,22.0,19.0,21.0,15.0,21.0,5.0,15.0,19.0,17.0,10.0,8.0
40.0,44.0,52.0,21.0,30.0,23.0,16.0,15.0,26.0,13.0,13.0,20.0,29.0,21.0,7.0
32.0,45.0,25.0,19.0,20.0,12.0,12.0,12.0,12.0,8.0,11.0,9.0,14.0,10.0,18.0
7.0,19.0,12.0,11.0,14.0,2.0,8.0,5.0,16.0,4.0,5.0,8.0,5.0,7.0,6.0
12.0,26.0,16.0,17.0,15.0,12.0,7.0,4.0,13.0,6.0,4.0,4.0,9.0,5.0,5.0
17.0,28.0,30.0,21.0,25.0,23.0,11.0,9.0,18.0,16.0,6.0,9.0,10.0,13.0,8.0
32.0,36.0,32.0,10.0,12.0,12.0,20.0,11.0,26.0,11.0,15.0,11.0,20.0,11.0,18.0
37.0,41.0,19.0,23.0,36.0,11.0,13.0,22.0,13.0,6.0,16.0,12.0,18.0,22.0,3.0
63.0,38.0,44.0,42.0,40.0,21.0,32.0,28.0,32.0,12.0,24.0,18.0,22.0,22.0,18.0
31.0,36.0,31.0,16.0,21.0,9.0,19.0,15.0,27.0,15.0,17.0,14.0,15.0,15.0,6.0
33.0,15.0,23.0,12.0,25.0,10.0,6.0,7.0,24.0,13.0,16.0,16.0,13.0,15.0,6.0
46.0,31.0,31.0,27.0,25.0,20.0,20.0,10.0,23.0,15.0,7.0,9.0,13.0,9.0,27.0
17.0,33.0,31.0,23.0,21.0,12.0,11.0,11.0,15.0,11.0,11.0,13.0,9.0,10.0,13.0
26.0,22.0,25.0,16.0,14.0,4.0,17.0,8.0,18.0,4.0,10.0,10.0,5.0,10.0,11.0
22.0,31.0,27.0,25.0,26.0,10.0,17.0,16.0,13.0,12.0,11.0,10.0,7.0,13.0,11.0
36.0,40.0,43.0,24.0,35.0,23.0,29.0,17.0,11.0,8.0,12.0,22.0,19.0,3.0,16.0
24.0,40.0,48.0,23.0,31.0,9.0,14.0,22.0,12.0,11.0,15.0,15.0,20.0,14.0,15.0
26.0,36.0,34.0,23.0,31.0,10.0,13.0,26.0,11.0,14.0,13.0,16.0,19.0,17.0,6.0
33.0,32.0,21.0,19.0,17.0,6.0,15.0,7.0,10.0,9.0,13.0,7.0,16.0,10.0,11.0
23.0,37.0,36.0,24.0,25.0,20.0,18.0,16.0,14.0,10.0,12.0,5.0,18.0,20.0,6.0
27.0,26.0,22.0,12.0,11.0,8.0,15.0,12.0,6.0,5.0,14.0,11.0,3.0,4.0,2.0
19.0,11.0,22.0,16.0,23.0,6.0,5.0,11.0,4.0,9.0,6.0,4.0,9.0,3.0,3.0
20.0,19.0,21.0,14.0,12.0,6.0,4.0,6.0,6.0,7.0,9.0,10.0,4.0,5.0,2.0
37.0,30.0,15.0,16.0,29.0,14.0,11.0,6.0,13.0,16.0,10.0,18.0,16.0,7.0,5.0
74.0,35.0,40.0,22.0,32.0,14.0,31.0,17.0,27.0,20.0,14.0,9.0,15.0,13.0,16.0
151.0,124.0,96.0,99.0,77.0,61.0,59.0,50.0,74.0,45.0,36.0,32.0,70.0,48.0,64.0
120.0,146.0,90.0,81.0,67.0,52.0,46.0,67.0,52.0,40.0,51.0,22.0,54.0,35.0,23.0
121.0,135.0,57.0,60.0,55.0,33.0,35.0,33.0,29.0,43.0,34.0,18.0,25.0,47.0,22.0
55.0,61.0,40.0,40.0,16.0,16.0,20.0,19.0,15.0,27.0,23.0,7.0,16.0,11.0,13.0
43.0,34.0,25.0,17.0,33.0,19.0,27.0,15.0,14.0,20.0,15.0,6.0,4.0,9.0,1.0
83.0,58.0,48.0,60.0,67.0,35.0,32.0,37.0,24.0,28.0,21.0,12.0,30.0,40.0,13.0
85.0,82.0,76.0,77.0,31.0,36.0,40.0,40.0,41.0,25.0,33.0,34.0,37.0,32.0,26.0
81.0,54.0,46.0,26.0,35.0,23.0,26.0,22.0,18.0,18.0,12.0,19.0,24.0,25.0,10.0
128.0,100.0,80.0,58.0,76.0,43.0,29.0,34.0,30.0,25.0,25.0,13.0,32.0,36.0,14.0
140.0,89.0,77.0,67.0,51.0,41.0,38.0,42.0,34.0,23.0,26.0,30.0,33.0,36.0,22.0
120.0,82.0,54.0,59.0,38.0,34.0,32.0,44.0,26.0,20.0,28.0,24.0,17.0,35.0,25.0
32.0,41.0,49.0,37.0,32.0,16.0,20.0,22.0,21.0,16.0,32.0,20.0,9.0,22.0,8.0
114.0,49.0,45.0,51.0,46.0,36.0,22.0,20.0,13.0,13.0,16.0,15.0,18.0,13.0,17.0
45.0,36.0,30.0,39.0,29.0,26.0,9.0,17.0,15.0,19.0,10.0,21.0,12.0,7.0,11.0
21.0,14.0,23.0,17.0,9.0,11.0,13.0,11.0,4.0,8.0,7.0,3.0,3.0,4.0,9.0
49.0,32.0,24.0,25.0,36.0,12.0,22.0,21.0,19.0,16.0,17.0,9.0,16.0,7.0,11.0
116.0,102.0,73.0,63.0,53.0,70.0,51.0,26.0,28.0,39.0,30.0,20.0,28.0,27.0,35.0
122.0,74.0,57.0,55.0,49.0,48.0,39.0,32.0,19.0,30.0,34.0,16.0,26.0,35.0,20.0
68.0,46.0,39.0,43.0,42.0,62.0,27.0,32.0,28.0,30.0,23.0,14.0,30.0,25.0,18.0
90.0,68.0,56.0,55.0,59.0,53.0,37.0,31.0,37.0,24.0,40.0,26.0,36.0,36.0,16.0
72.0,61.0,35.0,58.0,31.0,27.0,23.0,22.0,32.0,28.0,22.0,16.0,21.0,13.0,21.0
46.0,35.0,22.0,17.0,38.0,14.0,13.0,25.0,39.0,17.0,15.0,11.0,24.0,13.0,9.0
70.0,41.0,26.0,42.0,31.0,28.0,26.0,27.0,31.0,23.0,27.0,9.0,22.0,27.0,10.0
63.0,40.0,39.0,29.0,30.0,36.0,21.0,28.0,35.0,18.0,17.0,12.0,16.0,13.0,8.0
26.0,9.0,26.0,17.0,12.0,21.0,9.0,15.0,26.0,15.0,11.0,9.0,9.0,8.0,9.0
27.0,25.0,19.0,32.0,16.0,17.0,8.0,10.0,12.0,11.0,12.0,3.0,14.0,5.0,6.0
23.0,20.0,23.0,26.0,21.0,14.0,7.0,9.0,9.0,9.0,8.0,13.0,7.0,12.0,6.0
43.0,23.0,29.0,30.0,16.0,10.0,9.0,8.0,14.0,15.0,17.0,13.0,7.0,16.0,4.0
29.0,12.0,13.0,14.0,18.0,17.0,4.0,9.0,8.0,7.0,13.0,10.0,8.0,6.0,6.0
24.0,25.0,12.0,11.0,8.0,13.0,6.0,10.0,5.0,18.0,11.0,2.0,9.0,4.0,4.0
27.0,13.0,17.0,22.0,17.0,11.0,8.0,10.0,19.0,13.0,12.0,9.0,16.0,7.0,5.0
28.0,11.0,13.0,18.0,9.0,13.0,3.0,7.0,14.0,8.0,14.0,8.0,9.0,9.0,9.0
21.0,14.0,10.0,15.0,5.0,8.0,5.0,15.0,10.0,18.0,15.0,6.0,15.0,7.0,14.0
13.0,10.0,19.0,23.0,10.0,11.0,9.0,8.0,13.0,12.0,12.0,8.0,6.0,5.0,2.0
32.0,20.0,19.0,29.0,13.0,9.0,9.0,14.0,18.0,14.0,5.0,3.0,14.0,9.0,8.0
26.0,46.0,27.0,20.0,8.0,9.0,12.0,10.0,7.0,6.0,14.0,6.0,9.0,6.0,7.0
15.0,24.0,26.0,22.0,19.0,6.0,18.0,7.0,19.0,7.0,13.0,8.0,13.0,6.0,6.0
34.0,30.0,21.0,10.0,24.0,17.0,6.0,9.0,16.0,8.0,9.0,2.0,6.0,11.0,9.0
9.0,20.0,10.0,12.0,10.0,9.0,11.0,5.0,6.0,8.0,10.0,19.0,8.0,9.0,3.0
13.0,26.0,20.0,13.0,8.0,5.0,13.0,7.0,21.0,6.0,11.0,10.0,8.0,11.0,8.0
21.0,15.0,29.0,16.0,16.0,15.0,8.0,9.0,10.0,18.0,6.0,5.0,7.0,7.0,9.0
10.0,30.0,15.0,14.0,22.0,14.0,17.0,5.0,8.0,12.0,9.0,7.0,3.0,8.0,4.0
16.0,9.0,18.0,12.0,6.0,5.0,10.0,8.0,4.0,9.0,7.0,1.0,5.0,9.0,2.0
9.0,22.0,20.0,15.0,20.0,11.0,18.0,3.0,12.0,9.0,9.0,8.0,4.0,1.0,5.0
21.0,9.0,18.0,13.0,11.0,1.0,8.0,3.0,10.0,4.0,4.0,2.0,5.0,4.0,0.0
12.0,21.0,30.0,11.0,10.0,5.0,16.0,4.0,5.0,6.0,8.0,1.0,4.0,7.0,4.0
20.0,24.0,34.0,19.0,9.0,10.0,13.0,9.0,19.0,16.0,13.0,2.0,5.0,0.0,9.0
24.0,41.0,26.0,32.0,35.0,15.0,17.0,21.0,19.0,12.0,27.0,8.0,6.0,15.0,10.0
48.0,36.0,44.0,32.0,34.0,28.0,16.0,9.0,21.0,21.0,20.0,2.0,15.0,12.0,9.0
44.0,52.0,64.0,32.0,48.0,24.0,25.0,11.0,31.0,24.0,35.0,8.0,13.0,7.0,12.0
21.0,18.0,15.0,16.0,15.0,14.0,17.0,11.0,14.0,3.0,18.0,8.0,5.0,11.0,5.0
16.0,13.0,21.0,6.0,15.0,6.0,10.0,3.0,7.0,4.0,9.0,2.0,3.0,4.0,5.0
22.0,4.0,13.0,11.0,15.0,8.0,12.0,4.0,9.0,6.0,9.0,4.0,6.0,6.0,0.0
25.0,21.0,27.0,15.0,18.0,17.0,13.0,6.0,22.0,11.0,13.0,8.0,15.0,3.0,7.0
47.0,33.0,42.0,29.0,47.0,25.0,36.0,29.0,20.0,18.0,43.0,9.0,11.0,32.0,17.0
88.0,84.0,48.0,44.0,75.0,33.0,38.0,54.0,54.0,24.0,51.0,25.0,19.0,50.0,27.0
47.0,31.0,41.0,16.0,20.0,10.0,28.0,16.0,14.0,6.0,24.0,11.0,2.0,15.0,12.0
21.0,4.0,29.0,10.0,16.0,11.0,13.0,6.0,0.0,7.0,19.0,3.0,2.0,12.0,8.0
28.0,31.0,37.0,17.0,49.0,22.0,40.0,23.0,18.0,21.0,19.0,6.0,5.0,26.0,17.0
85.0,60.0,79.0,46.0,62.0,51.0,45.0,21.0,22.0,23.0,47.0,23.0,7.0,35.0,25.0
59.0,50.0,47.0,30.0,40.0,31.0,30.0,24.0,16.0,27.0,23.0,14.0,11.0,29.0,14.0
48.0,43.0,32.0,31.0,25.0,39.0,39.0,21.0,32.0,19.0,23.0,9.0,24.0,23.0,15.0
65.0,68.0,49.0,39.0,36.0,53.0,43.0,18.0,50.0,16.0,14.0,11.0,18.0,28.0,19.0
16.0,42.0,30.0,19.0,22.0,14.0,22.0,22.0,18.0,15.0,18.0,11.0,16.0,23.0,5.0
52.0,33.0,34.0,25.0,21.0,35.0,44.0,24.0,15.0,21.0,17.0,4.0,9.0,16.0,19.0
61.0,56.0,48.0,34.0,45.0,55.0,53.0,34.0,23.0,23.0,21.0,11.0,10.0,20.0,22.0
42.0,26.0,27.0,20.0,50.0,26.0,30.0,21.0,25.0,22.0,20.0,11.0,11.0,25.0,11.0
38.0,21.0,21.0,22.0,22.0,21.0,23.0,16.0,12.0,14.0,28.0,11.0,12.0,16.0,10.0
60.0,22.0,39.0,28.0,20.0,30.0,35.0,22.0,16.0,25.0,16.0,9.0,18.0,21.0,22.0
34.0,49.0,38.0,18.0,15.0,28.0,14.0,20.0,21.0,11.0,20.0,10.0,8.0,12.0,15.0
60.0,40.0,37.0,33.0,24.0,29.0,32.0,23.0,11.0,23.0,22.0,2.0,10.0,19.0,15.0
46.0,46.0,49.0,36.0,26.0,24.0,21.0,20.0,7.0,22.0,23.0,12.0,24.0,8.0,8.0
67.0,40.0,36.0,22.0,22.0,19.0,26.0,18.0,12.0,17.0,20.0,4.0,10.0,20.0,13.0
63.0,59.0,66.0,19.0,50.0,19.0,45.0,29.0,11.0,11.0,14.0,11.0,14.0,18.0,16.0
41.0,40.0,29.0,25.0,9.0,21.0,19.0,12.0,9.0,8.0,17.0,12.0,12.0,15.0,7.0
38.0,27.0,22.0,11.0,17.0,13.0,12.0,8.0,6.0,4.0,10.0,12.0,6.0,16.0,12.0
